
AFRICA_DO_SUL, ANGOLA, ARGELIA,
EGITO, NIGERIA, SOMALIA,
ALASCA, CALGARY, CALIFORNIA,
GROELANDIA, MEXICO, NOVAYORK,
QUEBEC, TEXAS, VANCOUVER,
ARGENTINA, BRASIL, PERU,
VENEZUELA, ARABIA_SAUDITA, BANGLADESH,
CAZAQUISTAO, CHINA, COREIA_DO_NORTE,
COREIA_DO_SUL, ESTONIA, INDIA,
IRA, IRAQUE, JAPAO,
JORDANIA, LETONIA, MONGOLIA,
PAQUISTAO, RUSSIA, SIBERIA,
SIRIA, TAILANDIA, TURQUIA,
ESPANHA, FRANCA, ITALIA,
POLONIA, REINO_UNIDO, ROMENIA,
SUECIA, UCRANIA, AUSTRALIA,
INDONESIA, NOVAZELANDIA, PERTH

0: AFRICA
1: AMERICA DO NORTE
2: ASIA
3: AMERICA DO SUL
4: EUROPA
5: OCEANIA

POLONIA   |   TRIANGULO
ESPANHA   |   CIRCULO
CHINA   |   QUADRADO
FRANCA   |   TRIANGULO
PERTH   |   CIRCULO
BANGLADESH   |   CIRCULO
UCRANIA   |   CIRCULO
ARABIA_SAUDITA   |   CIRCULO
CALGARY   |   CIRCULO
INDIA   |   TRIANGULO
SUECIA   |   QUADRADO
NIGERIA   |   CIRCULO
IRAQUE   |   TRIANGULO
INDONESIA   |   TRIANGULO
ARGENTINA   |   QUADRADO
ESTONIA   |   CIRCULO
NOVAYORK   |   QUADRADO
EGITO   |   TRIANGULO
SOMALIA   |   QUADRADO
ALASCA   |   TRIANGULO
COREIA_DO_SUL   |   TRIANGULO
NOVAZELANDIA   |   QUADRADO
TURQUIA   |   TRIANGULO
COREIA_DO_NORTE   |   QUADRADO
TEXAS   |   TRIANGULO
BRASIL   |   CIRCULO
MONGOLIA   |   TRIANGULO
JAPAO   |   CIRCULO
ROMENIA   |   TRIANGULO
VENEZUELA   |   TRIANGULO
SIBERIA   |   QUADRADO
GROELANDIA   |   CIRCULO
ANGOLA   |   QUADRADO
REINO_UNIDO   |   CIRCULO
QUEBEC   |   CIRCULO
CALIFORNIA   |   QUADRADO
AFRICA_DO_SUL   |   TRIANGULO
RUSSIA   |   TRIANGULO
ARGERIA   |   CIRCULO
AUSTRALIA   |   TRIANGULO
ITALIA   |   QUADRADO
JORDANIA   |   QUADRADO
PAQUISTAO   |   CIRCULO
CAZAQUISTAO   |   CIRCULO
VANCOUVER   |   TRIANGULO
TAILANDIA   |   TRIANGULO
IRA   |   QUADRADO
SIRIA   |   QUADRADO
MEXICO   |   QUADRADO
LETONIA   |   QUADRADO
PERU   |   TRIANGULO
